Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getLandingPage,1,3900,3900,3900,0,0.00%,0.25641,139.74,0.63,558069
getLandingPage-4,1,2411,2411,2411,0,0.00%,0.41477,2.16,0.19,5325
getLandingPage-22,1,190,190,190,0,0.00%,5.26316,2.15,2.32,418
getLandingPage-31,1,285,285,285,0,0.00%,3.50877,4.94,1.36,1443
getLandingPage-32,1,66,66,66,0,0.00%,15.15152,92.42,6.08,6246
getLandingPage-33,1,489,489,489,0,0.00%,2.04499,1084.65,0.83,543124
getLandingPage-23,1,459,459,459,0,0.00%,2.17865,3.22,0.84,1513
saveLogin,1,1903,1903,1903,0,0.00%,0.52549,5.43,1.91,10572
saveLogin-34,1,194,194,194,0,0.00%,5.15464,2.26,2.41,449
saveLogin-35,1,269,269,269,0,0.00%,3.71747,1.84,1.76,507
saveLogin-36,1,198,198,198,0,0.00%,5.05051,25.03,2.26,5075
saveLogin-52,1,187,187,187,0,0.00%,5.34759,2.65,2.36,508
saveLogin-54,1,190,190,190,0,0.00%,5.26316,2.31,2.46,449
saveLogin-53,1,208,208,208,0,0.00%,4.80769,7.42,1.85,1580
saveLogin-55,1,200,200,200,0,0.00%,5,3.11,2.33,636
saveLogin-63,1,457,457,457,0,0.00%,2.18818,2.92,1.07,1368
selectLaptopsPage,4,403,402,404,0.71,0.00%,0.25304,0.47,0.23,1899
selectLaptopsPage-64,4,190,188,193,2.06,0.00%,0.25653,0.11,0.12,449
selectLaptopsPage-65,4,212,210,215,2.06,0.00%,0.2562,0.36,0.12,1450
selectSpesificItem,4,1184,1166,1191,10.69,0.00%,0.24107,2.03,0.67,8620.2
selectMaCBookLaptop-68,4,208,196,219,8.2,0.00%,0.25621,1.42,0.13,5672
selectMaCBookLaptop-81,4,188,187,192,1.92,0.00%,0.25656,0.13,0.12,536
selectMaCBookLaptop-82,4,190,188,192,1.58,0.00%,0.25656,0.11,0.12,449
selectMaCBookLaptop-83,4,190,189,192,1.09,0.00%,0.25656,0.11,0.12,449
selectMaCBookLaptop-85,4,201,200,204,1.48,0.00%,0.25634,0.17,0.12,659.5
selectMaCBookLaptop-84,4,205,200,210,4.15,0.00%,0.25621,0.21,0.11,854.8
addItemToCart,4,453,428,504,30.09,0.00%,0.25272,0.19,0.26,757
addLaptopToCart-87,4,195,189,213,10.11,0.00%,0.25656,0.11,0.12,449
addLaptopToCart-88,4,257,234,314,32.71,0.00%,0.25577,0.08,0.14,308
goToCart,4,1597,1566,1637,25.81,0.00%,0.23554,2.3,0.88,9981
goToCart-89,4,201,193,218,10.03,0.00%,0.25662,1.47,0.13,5885.2
goToCart-104,4,192,187,206,8.09,0.00%,0.2571,0.15,0.11,589.5
goToCart-105,4,191,189,195,2.18,0.00%,0.25733,0.11,0.12,449
goToCart-106,4,189,187,191,1.5,0.00%,0.2574,0.11,0.12,449
goToCart-107,4,204,198,208,3.77,0.00%,0.25715,0.15,0.12,609.5
goToCart-108,4,222,219,225,2.24,0.00%,0.25697,0.18,0.12,712.2
goToCart-109,4,191,187,198,4.03,0.00%,0.25738,0.11,0.12,449
goToCart-110,4,205,201,211,4.02,0.00%,0.25717,0.21,0.11,837.5
savePurchase,4,1443,1388,1512,54.38,0.00%,0.23895,2.11,0.76,9023.2
savePurchase-112,4,202,188,232,17.77,0.00%,0.25748,0.11,0.12,449
savePurchase-113,4,282,250,320,32.24,0.00%,0.25554,0.08,0.12,316
savePurchase-115,4,194,192,199,2.77,0.00%,0.25649,1.27,0.13,5065.8
savePurchase-131,4,133,79,188,53.51,0.00%,0.25836,0.14,0.11,549.2
savePurchase-132,4,189,189,191,0.83,0.00%,0.25831,0.11,0.12,449
savePurchase-133,4,226,212,245,13.75,0.00%,0.2579,0.4,0.1,1585.2
savePurchase-134,4,213,201,245,18.18,0.00%,0.25855,0.15,0.12,609
TOTAL,136,384,66,3900,511,0.00%,4.8634,48.18,3.77,10143.6
